sensor_index,date_created,last_seen,name,uptime,latitude,longitude
198297,1696866752,1768540399,Weequahic Park,12041,40.70114,-74.1988
203189,1701186588,1768540469,Middlesex,1076,40.583714,-74.485214
203559,1701212474,1768540381,Pierson Hill Rd,9,40.85454,-74.55431
205275,1702068506,1768540381,Kage Neko,972,40.299572,-74.688705
205833,1702413626,1721806272,"Belle Mead, NJ",265,40.456696,-74.67159
208657,1703718178,1768540383,173 Werimus,193,41.024178,-74.06687
208913,1704229729,1768540359,Claremont,1894,40.70825,-74.07304
216763,1710114838,1768475832,Princeton Ridge,168,40.37621,-74.69325
217345,1710187186,1768540427,Sbfourthstreet,536,39.923466,-75.12143
219753,1711553855,1718435547,Belleville 01,64320,40.802032,-74.17193
220733,1712333999,1766172594,Gritty,4118,39.592445,-74.21884
221961,1713453654,1740090432,SRTM-MI,17,39.919765,-75.11087
222509,1713823707,1757172764,Harding Dr,392,40.75836,-74.26673
223335,1714580963,1744148765,West Deptford,64706,39.815765,-75.19456
227295,1717620369,1722876891,SRTM,1,39.95412,-75.07253
231661,1720544011,1768540461,Rumson,59748,40.356213,-74.01483
232345,1720807352,1768539578,Schooleys Mountain,1142,40.791237,-74.83292
233767,1721859747,1768540431,Princeton,24553,40.357803,-74.66757
233793,1721916294,1768540375,McGillvray Place,39905,40.64456,-74.22267
234477,1722373784,1759594125,East Windsor,10021,40.26986,-74.56995
242879,1726247147,1768540473,US EPA CASTNET WSP144_242879,1058,40.3123,-74.8727
243025,1726261251,1768540440,MexiHouse_02,21074,40.413795,-74.93293
243705,1726674921,1768540441,South Face of house,788,40.79209,-74.163666
249055,1729712040,1768540418,WarrenAQ,117,40.65842,-74.47081
257639,1736368649,1768540411,This is the other place.,269,40.97866,-74.11762
262955,1738336347,1768540408,McCatharn Rd,850,40.674557,-74.84158
269114,1742230666,1768446146,AirBiscuit,300,40.680264,-74.89277
270726,1743000341,1750696058,NJ266B,2016,40.63793,-74.38369
270884,1743010259,1768540370,East Brunswick Magnet School,20717,40.423294,-74.39053
271297,1743258449,1768540432,YMCA Edison,3970,40.57137,-74.34998
271299,1743258450,1768540367,Piscataway Magnet School,39742,40.5259,-74.42386
271321,1743258474,1768540415,RWJ Fitness &amp; Wellness: Carteret,40955,40.57837,-74.2196
271389,1743272640,1768540384,Darlene C. McKnight 1,10023,40.235245,-74.74381
271391,1743272640,1768540400,Perth Amboy Magnet School,63960,40.515587,-74.26245
271419,1743272650,1768540433,YMCA Metuchen,54349,40.533585,-74.363014
272130,1743710522,1743774621,NJ4AFA,1054,40.221054,-74.76512
272158,1743710534,1768540369,NJ261B,338,40.222168,-74.76367
280292,1747932377,1768540472,Duke Farms Cafe Cottage,572,40.54448,-74.62488
284144,1750262383,1768540374,Front garden,293,40.719227,-74.0478
284768,1750456707,1768540376,Flanders,4524,40.83639,-74.651245
285334,1750888361,1768540446,CottageAvenueMontvaleNJ,450,41.038525,-74.01963
285510,1751030636,1768540469,Edelman Fossil Park and Museum,1756,39.761585,-75.12759
285972,1751308502,1768540364,River Edge,3996,40.93026,-74.036095
288408,1752866827,1768540448,Hopatcong Hills,38637,40.9452,-74.66528
288812,1753212806,1768540432,Beach Arlington,39376,39.64386,-74.17936
292343,1755902779,1768540411,Unity Charter School,742,40.805897,-74.466805
295099,1758040089,1768540380,Waldwick Landscaping,1122,41.05452,-74.132256
